"word","sentence","vampires"
"dracula",1,1
"chapter",1,1
"i",1,1
"jonathan",1,1
"harker's",1,1
"journal",1,1
"kept",1,1
"in",1,1
"shorthand",1,1
"3",2,1
"may",2,1
"bistritz",3,1
"left",4,1
"munich",4,1
"at",4,1
"835",4,1
"p",4,1
"m",5,1
"on",5,1
"1st",5,1
"may",5,1
"arriving",5,1
"at",5,1
"vienna",5,1
"early",5,1
"next",5,1
"morning",5,1
"should",5,1
"have",5,1
"arrived",5,1
"at",5,1
"646",5,1
"but",5,1
"train",5,1
"was",5,1
"an",5,1
"hour",5,1
"late",5,1
"buda-pesth",6,1
"seems",6,1
"a",6,1
"wonderful",6,1
"place",6,1
"from",6,1
"the",6,1
"glimpse",6,1
"which",6,1
"i",6,1
"got",6,1
"of",6,1
"it",6,1
"from",6,1
"the",6,1
"train",6,1
"and",6,1
"the",6,1
"little",6,1
"i",6,1
"could",6,1
"walk",6,1
"through",6,1
"the",6,1
"streets",6,1
"i",7,1
"feared",7,1
"to",7,1
"go",7,1
"very",7,1
"far",7,1
"from",7,1
"the",7,1
"station",7,1
"as",7,1
"we",7,1
"had",7,1
"arrived",7,1
"late",7,1
"and",7,1
"would",7,1
"start",7,1
"as",7,1
"near",7,1
"the",7,1
"correct",7,1
"time",7,1
"as",7,1
"possible",7,1
"the",8,1
"impression",8,1
"i",8,1
"had",8,1
"was",8,1
"that",8,1
"we",8,1
"were",8,1
"leaving",8,1
"the",8,1
"west",8,1
"and",8,1
"entering",8,1
"the",8,1
"east",8,1
"the",8,1
"most",8,1
"western",8,1
"of",8,1
"splendid",8,1
"bridges",8,1
"over",8,1
"the",8,1
"danube",8,1
"which",8,1
"is",8,1
"here",8,1
"of",8,1
"noble",8,1
"width",8,1
"and",8,1
"depth",8,1
"took",8,1
"us",8,1
"among",8,1
"the",8,1
"traditions",8,1
"of",8,1
"turkish",8,1
"rule",8,1
"we",9,1
"left",9,1
"in",9,1
"pretty",9,1
"good",9,1
"time",9,1
"and",9,1
"came",9,1
"after",9,1
"nightfall",9,1
"to",9,1
"klausenburgh",9,1
"here",10,1
"i",10,1
"stopped",10,1
"for",10,1
"the",10,1
"night",10,1
"at",10,1
"the",10,1
"hotel",10,1
"royale",10,1
"i",11,1
"had",11,1
"for",11,1
"dinner",11,1
"or",11,1
"rather",11,1
"supper",11,1
"a",11,1
"chicken",11,1
"done",11,1
"up",11,1
"some",11,1
"way",11,1
"with",11,1
"red",11,1
"pepper",11,1
"which",11,1
"was",11,1
"very",11,1
"good",11,1
"but",11,1
"thirsty",11,1
"mem",12,1
"get",12,1
"recipe",12,1
"for",12,1
"mina",12,1
"i",13,1
"asked",13,1
"the",13,1
"waiter",13,1
"and",13,1
"he",13,1
"said",13,1
"it",13,1
"was",13,1
"called",13,1
"paprika",13,1
"hendl",13,1
"and",13,1
"that",13,1
"as",13,1
"it",13,1
"was",13,1
"a",13,1
"national",13,1
"dish",13,1
"i",13,1
"should",13,1
"be",13,1
"able",13,1
"to",13,1
"get",13,1
"it",13,1
"anywhere",13,1
"along",13,1
"the",13,1
"carpathians",13,1
"i",14,1
"found",14,1
"my",14,1
"smattering",14,1
"of",14,1
"german",14,1
"very",14,1
"useful",14,1
"here",14,1
"indeed",14,1
"i",14,1
"don't",14,1
"know",14,1
"how",14,1
"i",14,1
"should",14,1
"be",14,1
"able",14,1
"to",14,1
"get",14,1
"on",14,1
"without",14,1
"it",14,1
"having",15,1
"had",15,1
"some",15,1
"time",15,1
"at",15,1
"my",15,1
"disposal",15,1
"when",15,1
"in",15,1
"london",15,1
"i",15,1
"had",15,1
"visited",15,1
"the",15,1
"british",15,1
"museum",15,1
"and",15,1
"made",15,1
"search",15,1
"among",15,1
"the",15,1
"books",15,1
"and",15,1
"maps",15,1
"in",15,1
"the",15,1
"library",15,1
"regarding",15,1
"transylvania",15,1
"it",15,1
"had",15,1
"struck",15,1
"me",15,1
"that",15,1
"some",15,1
"foreknowledge",15,1
"of",15,1
"the",15,1
"country",15,1
"could",15,1
"hardly",15,1
"fail",15,1
